model rank_corr
_RidgeRegressor_alpha_0.01 0.3222931562412082
_LassoRegressor_alpha_0.01 0.24792767143760783
_RFRegressor_n_estimators_50_max_depth_10_n_jobs_-1 0.21500018010627542
_XGBoostRegressor_n_estimators_500_max_depth_10_n_jobs_-1 0.41702635000870325
_RidgeRegressor_alpha_0.001 0.31280474484113724
_LassoRegressor_alpha_0.001 0.2603240296105866
_RFRegressor_n_estimators_200_max_depth_10_n_jobs_-1 0.21606677075729205
_XGBoostRegressor_n_estimators_1000_max_depth_10_n_jobs_-1 0.4565650647146444
_LightGBMRegressor_n_estimators_1000_max_depth_10 0.38908899754220333
_RidgeRegressor_alpha_0.0001 0.30978821930814615
_LassoRegressor_alpha_0.0001 0.3294774107871457
_RFRegressor_n_estimators_50_max_depth_30_n_jobs_-1 0.2467320114165949
_XGBoostRegressor_n_estimators_1000_max_depth_30_n_jobs_-1 0.5703883219151172
_LightGBMRegressor_n_estimators_1000_max_depth_30 0.41084399520555537
_RidgeRegressor_alpha_0.1 0.35157913426001586
_LassoRegressor_alpha_0.1 0.24096577132326394
_RFRegressor_n_estimators_100_max_depth_30_n_jobs_-1 0.2502788077168262
_XGBoostRegressor_n_estimators_1500_max_depth_30_n_jobs_-1 0.5827736826319697
_LightGBMRegressor_n_estimators_1500_max_depth_30 0.4200207535450453
_LightGBMRegressor_n_estimators_5000_max_depth_30 0.48048134874414317
