model train_mse test_mse time
_LightGBMRegressor_n_estimators_500 0.9381457789257996 1.140716121609963 27/11/2021 21:48:43
_LightGBMRegressor_n_estimators_800 0.8248959490044832 1.0946417324412123 27/11/2021 21:55:35
_LightGBMRegressor_n_estimators_1200 0.7133464420313151 1.0469995590048533 27/11/2021 22:00:21
_LightGBMRegressor_n_estimators_2500 0.48520119266437917 0.9422543606314708 27/11/2021 22:09:13
_LightGBMRegressor_n_estimators_5000 0.2709750953888724 0.8265327515730465 27/11/2021 22:38:43
_RidgeRegressor_alpha_0.01 0.0027069519921474323 1.5390954533522236 27/11/2021 23:45:25
_RFRegressor_n_estimators_5_max_depth_10_n_jobs_-1 1.3479951438875086 1.4060717308014727 28/11/2021 09:47:44
_RidgeRegressor_alpha_0.01 0.5022684548662019 1.405106371659679 28/11/2021 09:52:00
_LassoRegressor_alpha_0.01 1.4633711365005027 1.4591356828521331 28/11/2021 09:55:48
_RFRegressor_n_estimators_50_max_depth_10_n_jobs_-1 1.335400393307308 1.3903979501454835 28/11/2021 10:00:37
_XGBoostRegressor_n_estimators_500_max_depth_10_n_jobs_-1 0.451484688867826 0.9611913587865504 28/11/2021 10:24:54
_LightGBMRegressor_n_estimators_500 0.919680199146007 1.139257444360293 28/11/2021 10:27:51
_LightGBMRegressor_n_estimators_500_max_depth_10 0.9905681576860242 1.168133442365414 28/11/2021 10:33:07
_RidgeRegressor_alpha_0.001 0.48759232800597047 1.5060906556357663 28/11/2021 10:37:32
_LassoRegressor_alpha_0.001 1.3154672698762533 1.3183807664539475 28/11/2021 10:52:02
_RFRegressor_n_estimators_200_max_depth_10_n_jobs_-1 1.3353620604154537 1.390443989664642 28/11/2021 11:11:42
_XGBoostRegressor_n_estimators_1000_max_depth_10_n_jobs_-1 0.267986046286894 0.8634117783365115 28/11/2021 11:39:54
_LightGBMRegressor_n_estimators_1000_max_depth_10 0.8429010096851365 1.1072763630836404 28/11/2021 11:43:46
_RidgeRegressor_alpha_0.0001 0.4871522697929602 1.519820198042736 28/11/2021 11:47:16
_LassoRegressor_alpha_0.0001 1.083856026800542 1.185739226579583 28/11/2021 12:29:06
_RFRegressor_n_estimators_50_max_depth_30_n_jobs_-1 0.9774315228667599 1.234086982036408 28/11/2021 12:58:50
_XGBoostRegressor_n_estimators_1000_max_depth_30_n_jobs_-1 0.014717802676784079 0.7102851059359102 28/11/2021 14:16:39
_LightGBMRegressor_n_estimators_1000_max_depth_30 0.7465819796080624 1.067020223329265 28/11/2021 14:21:20
_RidgeRegressor_alpha_0.1 0.5772295593991951 1.2682008774784916 28/11/2021 14:30:51
_LassoRegressor_alpha_0.1 1.5969535451372687 1.5955246702145338 28/11/2021 14:32:31
_RFRegressor_n_estimators_100_max_depth_30_n_jobs_-1 0.973416716723885 1.2315849868203192 28/11/2021 15:39:37
_XGBoostRegressor_n_estimators_1500_max_depth_30_n_jobs_-1 0.005314681413082411 0.6996480779505638 28/11/2021 17:35:02
_LightGBMRegressor_n_estimators_1500_max_depth_30 0.6277986967828824 1.013335521351101 28/11/2021 17:41:46
